p1_id,p2_id,doc_id,sentence_index,label,expectation,tokens,p1_text,p1_start,p1_end,p2_text,p2_start,p2_end,is_correct
3d9f70b5-46e0-49f8-8679-15d8eee94a92_1_46_47,3d9f70b5-46e0-49f8-8679-15d8eee94a92_1_49_50,3d9f70b5-46e0-49f8-8679-15d8eee94a92,1,,0.973,"{Green,Tree,International,"","",Inc.,"","",the,parent,company,of,Amercanex,"","",the,American,Cannabis,Exchange,"","",today,announced,that,former,Dubai,Mercantile,Exchange,-LRB-,DME,-RRB-,CEO,Gordon,Rutledge,"","",along,with,fellow,former,NYMEX,Board,Member,James,McNally,have,joined,their,former,NYMEX,colleagues,Richard,Schaeffer,and,David,Greenberg,at,Amercanex,.}",Richard Schaeffer,46,47,David Greenberg,49,50,1
e275fc5e-0487-4eaa-984a-576d0b268725_4_17_18,e275fc5e-0487-4eaa-984a-576d0b268725_4_20_21,e275fc5e-0487-4eaa-984a-576d0b268725,4,,0.934,"{Mr,Harper,was,paid,$,1500,a,day,and,his,three,fellow,panellists,--,Peter,Anderson,"","",Su,McCluskey,and,Michael,O'Bryan,--,received,$,1000,a,day,"","",according,to,answers,to,questions,on,notice,from,the,nate,.}",Su McCluskey,17,18,Michael O'Bryan,20,21,1
475b8d1a-2f28-46df-a5bf-498ecc4ef7bd_1_3_4,475b8d1a-2f28-46df-a5bf-498ecc4ef7bd_1_6_7,475b8d1a-2f28-46df-a5bf-498ecc4ef7bd,1,,0.923,"{Downton,Abbey,stars,Jim,Carter,and,Phyllis,Logan,have,hinted,at,how,their,love,story,unfolds,in,the,final,series,.}",Jim Carter,3,4,Phyllis Logan,6,7,1
3d9f70b5-46e0-49f8-8679-15d8eee94a92_1_38_39,3d9f70b5-46e0-49f8-8679-15d8eee94a92_1_46_47,3d9f70b5-46e0-49f8-8679-15d8eee94a92,1,t,0.97,"{Green,Tree,International,"","",Inc.,"","",the,parent,company,of,Amercanex,"","",the,American,Cannabis,Exchange,"","",today,announced,that,former,Dubai,Mercantile,Exchange,-LRB-,DME,-RRB-,CEO,Gordon,Rutledge,"","",along,with,fellow,former,NYMEX,Board,Member,James,McNally,have,joined,their,former,NYMEX,colleagues,Richard,Schaeffer,and,David,Greenberg,at,Amercanex,.}",James McNally,38,39,Richard Schaeffer,46,47,1
70bebfae-c258-4e9b-8271-90e373cc317e_75_0_1,70bebfae-c258-4e9b-8271-90e373cc317e_75_3_4,70bebfae-c258-4e9b-8271-90e373cc317e,75,,0.926,"{Barack,Obama,and,Joe,Biden,run,in,the,White,House,Photo,:,YouTube/letsmove,Mr,Biden,is,beloved,by,Democrats,for,his,warmth,"","",passion,and,fierce,loyalty,to,president,Barack,Obama,.}",Barack Obama,0,1,Joe Biden,3,4,1
c55b5b65-79d8-4cb9-87fd-060adb6e7a7b_5_23_23,c55b5b65-79d8-4cb9-87fd-060adb6e7a7b_5_25_26,c55b5b65-79d8-4cb9-87fd-060adb6e7a7b,5,,0.907,"{Australia,will,have,to,cope,with,at,least,the,absence,of,three,players,with,more,than,200,Tests,between,them,:,Clarke,"","",Johnson,and,Chris,Rogers,.}",Johnson,23,23,Chris Rogers,25,26,UNKNOWN
5523136e-6fa5-4feb-b11f-a9ce9495ca3c_6_2_2,5523136e-6fa5-4feb-b11f-a9ce9495ca3c_6_4_5,5523136e-6fa5-4feb-b11f-a9ce9495ca3c,6,,0.91,"{Promoted,stories,Jessica,and,Graham,Norton,-LRB-,Ian,West/PA,-RRB-,Matt,is,currently,shooting,the,new,Bourne,Identity,movie,"","",and,said,age,has,taken,its,toll,.}",Jessica,2,2,Graham Norton,4,5,UNKNOWN
4ad27a47-5d5f-41a1-ac03-865fab51d042_16_0_1,4ad27a47-5d5f-41a1-ac03-865fab51d042_16_17_18,4ad27a47-5d5f-41a1-ac03-865fab51d042,16,t,0.95,"{Liz,Britton,"","",whose,husband,"","",father,and,father-in-law,are,war,veterans,"","",said,co-organizers,Blum,"","",Sharon,Stockman,and,Red,Stahlman,have,been,working,hard,to,put,a,quality,event,together,.}",Liz Britton,0,1,Sharon Stockman,17,18,1
4ad27a47-5d5f-41a1-ac03-865fab51d042_16_0_1,4ad27a47-5d5f-41a1-ac03-865fab51d042_16_15_15,4ad27a47-5d5f-41a1-ac03-865fab51d042,16,t,0.949,"{Liz,Britton,"","",whose,husband,"","",father,and,father-in-law,are,war,veterans,"","",said,co-organizers,Blum,"","",Sharon,Stockman,and,Red,Stahlman,have,been,working,hard,to,put,a,quality,event,together,.}",Liz Britton,0,1,Blum,15,15,1
c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8_9_3_4,c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8_9_6_7,c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8,9,t,0.92,"{Virginia,Democratic,Sens.,Timothy,Kaine,and,Mark,Warner,and,Democratic,Gov.,Terry,McAuliffe,spoke,at,the,rally,"","",which,was,organized,by,Everytown,for,Gun,Safety,"","",an,organization,working,to,end,gun,violence,formerly,known,as,Mayors,Against,Illegal,Guns,.}",Timothy Kaine,3,4,Mark Warner,6,7,1
af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b_50_18_18,af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b_50_25_26,af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b,50,t,0.959,"{In,a,current,average,of,New,Hampshire,polls,"","",Fiorina,has,surged,into,third,place,"","",behind,only,Carson,and,Trump,Washington,Post,staff,writers,Robert,Costa,and,Jenna,Johnson,contributed,to,this,report,.}",Carson,18,18,Robert Costa,25,26,
f1e8952b-f800-45c0-a03f-35c2156d7e8a_9_21_22,f1e8952b-f800-45c0-a03f-35c2156d7e8a_9_27_28,f1e8952b-f800-45c0-a03f-35c2156d7e8a,9,t,0.951,"{Pearson,'s,outgoing,personality,made,him,a,popular,figure,at,the,stadium,"","",where,his,friends,included,Hall,of,Fame,broadcaster,Vin,Scully,"","",retired,Dodgers,manager,Tom,Lasorda,and,team,president,and,CEO,Stan,Kasten,.}",Vin Scully,21,22,Tom Lasorda,27,28,
78cab105-4959-436a-8dd8-e23d239da749_9_19_20,78cab105-4959-436a-8dd8-e23d239da749_9_7_7,78cab105-4959-436a-8dd8-e23d239da749,9,t,0.901,"{I,have,been,upfront,all,along,with,John,-LRB-,Brisbane,coach,John,Aloisi,-RRB-,and,Moorey,-LRB-,football,manager,Craig,Moore,-RRB-,and,they,have,been,great,about,the,whole,thing,.}",Craig Moore,19,20,John,7,7,UNKNOWN
f3df087c-8bf5-4c17-ac20-eb7b199f9300_33_15_15,f3df087c-8bf5-4c17-ac20-eb7b199f9300_33_17_17,f3df087c-8bf5-4c17-ac20-eb7b199f9300,33,t,0.97,"{``,The,bigger,the,blessing,"","",the,bigger,the,responsibility,'',--,Boet,Era,us,Dana,and,Etienne,live,by,their,grandfather,'s,philosophy,and,are,involved,in,charity,work,.}",Dana,15,15,Etienne,17,17,
f7230353-a117-4537-b462-4302cc4323fc_19_25_26,f7230353-a117-4537-b462-4302cc4323fc_19_28_29,f7230353-a117-4537-b462-4302cc4323fc,19,,0.905,"{More,than,""10,000"",climbers,have,tackled,it,since,mountaineers,began,their,assault,on,the,massif,in,1922,"","",but,it,was,n't,until,1953,that,Edmund,Hillary,and,Tenzing,Norgay,conquered,the,mountain,.}",Edmund Hillary,25,26,Tenzing Norgay,28,29,1
63b1c3e1-7abd-40ad-99f6-b9231e16425b_90_10_11,63b1c3e1-7abd-40ad-99f6-b9231e16425b_90_19_20,63b1c3e1-7abd-40ad-99f6-b9231e16425b,90,t,0.916,"{Well,done,by,Fox,Sports,1,anchors,Jay,Onrait,and,Dan,O’Toole,with,this,sendoff,for,former,FS1,colleague,Mike,Francesa,5d,.}",Dan O’Toole,10,11,Mike Francesa,19,20,1
af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b_50_25_26,af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b_50_9_9,af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b,50,t,0.92,"{In,a,current,average,of,New,Hampshire,polls,"","",Fiorina,has,surged,into,third,place,"","",behind,only,Carson,and,Trump,Washington,Post,staff,writers,Robert,Costa,and,Jenna,Johnson,contributed,to,this,report,.}",Robert Costa,25,26,Fiorina,9,9,
c69ce097-96b5-43b0-a5bb-9120c7b17dd1_17_3_4,c69ce097-96b5-43b0-a5bb-9120c7b17dd1_17_6_7,c69ce097-96b5-43b0-a5bb-9120c7b17dd1,17,,0.928,"{Marcus,Martin,"","",Jordan,Devey,and,Erik,Pears,have,struggled,mightily,"","",so,shaking,that,up,would,be,a,significant,first,step,.}",Jordan Devey,3,4,Erik Pears,6,7,1
d1861a5b-896c-4bb6-bb0c-c57dbdc9a39d_2_3_4,d1861a5b-896c-4bb6-bb0c-c57dbdc9a39d_2_6_7,d1861a5b-896c-4bb6-bb0c-c57dbdc9a39d,2,,0.91,"{In,1930,"","",Charles,Hyde,and,David,Vredenburg,opened,a,small,general,store,in,Beaconsfield,"","",Iowa,.}",Charles Hyde,3,4,David Vredenburg,6,7,1
8418a473-0adb-460c-9153-099200d96c36_7_2_2,8418a473-0adb-460c-9153-099200d96c36_7_4_4,8418a473-0adb-460c-9153-099200d96c36,7,,0.925,"{Kimmel,asked,Mikey,and,Jay,what,else,they,thought,the,sunfish,was,-LRB-,``,I,was,hopin,',it,was,a,tuna,"","",kehd,"","",imagine,the,money,we,woulda,got,?,'',-RRB-}",Mikey,2,2,Jay,4,4,UNKNOWN
3d9f70b5-46e0-49f8-8679-15d8eee94a92_4_5_5,3d9f70b5-46e0-49f8-8679-15d8eee94a92_4_7_7,3d9f70b5-46e0-49f8-8679-15d8eee94a92,4,,0.918,"{Like,Schaeffer,and,Greenberg,"","",Rutledge,and,McNally,bring,Amercanex,invaluable,exchange,experience,along,with,an,extensive,network,of,contacts,throughout,the,global,financial,community,.}",Rutledge,5,5,McNally,7,7,1
a3938592-e9fa-40dd-a311-3d08f04c128f_23_5_5,a3938592-e9fa-40dd-a311-3d08f04c128f_23_7_7,a3938592-e9fa-40dd-a311-3d08f04c128f,23,,0.924,"{-LRB-,Kasich,"","",Christie,"","",Bush,and,Walker,qualified,for,the,prime-time,debate,.}",Bush,5,5,Walker,7,7,
a419ac1e-a1a2-4632-8235-48c71acf6b5c_6_42_43,a419ac1e-a1a2-4632-8235-48c71acf6b5c_6_45_46,a419ac1e-a1a2-4632-8235-48c71acf6b5c,6,,0.931,"{Billboard,promotion,As,part,of,its,push,to,grab,more,advertising,dollars,from,television,"","",YouTube,has,bought,space,on,prominent,billboards,along,Sunset,Boulevard,to,promote,its,growing,roster,of,``,creators,'',such,as,Tyler,Oakley,"","",Lilly,Singh,"","",Michelle,Phan,and,Bethany,Mota,.}",Michelle Phan,42,43,Bethany Mota,45,46,
fbef92b4-c7bc-4011-9a84-8f9efaae1ae8_1_4_5,fbef92b4-c7bc-4011-9a84-8f9efaae1ae8_1_7_8,fbef92b4-c7bc-4011-9a84-8f9efaae1ae8,1,,0.964,"{Louis,van,Gaal,admits,Wayne,Rooney,and,Michael,Carrick,approached,him,earlier,this,season,because,they,had,concerns,about,dressing,room,morale,at,Manchester,United,.}",Wayne Rooney,4,5,Michael Carrick,7,8,1
eee6c366-6cb2-44c6-9f86-20be63e25a1c_41_4_4,eee6c366-6cb2-44c6-9f86-20be63e25a1c_41_6_6,eee6c366-6cb2-44c6-9f86-20be63e25a1c,41,,0.906,"{Parallels,Bob,Brenly,managed,Johnson,and,Schilling,from,2001-03,"","",when,both,pitchers,were,at,the,peak,of,their,powers,.}",Johnson,4,4,Schilling,6,6,1
72fc0339-95cf-4427-86a4-647da1443b48_11_3_4,72fc0339-95cf-4427-86a4-647da1443b48_11_6_7,72fc0339-95cf-4427-86a4-647da1443b48,11,,0.944,"{Trace,Adkins,"","",Colt,Ford,and,Aaron,Lewis,are,set,to,appear,Sept.,16,at,Brantley,Gilbert,'s,Chattanooga,Unite,:,A,Tribute,on,the,River,.}",Colt Ford,3,4,Aaron Lewis,6,7,UNKNOWN
cd4464f1-5701-4d90-95d8-35c1e4240982_16_0_0,cd4464f1-5701-4d90-95d8-35c1e4240982_16_2_2,cd4464f1-5701-4d90-95d8-35c1e4240982,16,,0.917,"{Frank,and,Moira,were,involved,with,local,organisations,"","",and,Frank,was,a,member,of,the,Knights,of,the,Southern,Cross,"","",Rotary,and,Probus,Clubs,.}",Frank,0,0,Moira,2,2,1
20c239b1-b016-42bd-bd92-a5f44727e878_16_38_39,20c239b1-b016-42bd-bd92-a5f44727e878_16_41_42,20c239b1-b016-42bd-bd92-a5f44727e878,16,,0.903,"{When,fighting,became,fashionable,during,the,1970s,"","",with,expansion,diluting,the,talent,pool,and,the,Philadelphia,Flyers,having,championship,success,with,their,Broad,Street,Bullies,"","",the,Penguins,followed,suit,with,the,likes,of,Battleship,Kelly,"","",Steve,Durbano,and,Bryan,Watson,.}",Steve Durbano,38,39,Bryan Watson,41,42,1
af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b_50_18_18,af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b_50_28_29,af6a8e4c-ce8e-441a-8bd8-61c0ad416c5b,50,t,0.959,"{In,a,current,average,of,New,Hampshire,polls,"","",Fiorina,has,surged,into,third,place,"","",behind,only,Carson,and,Trump,Washington,Post,staff,writers,Robert,Costa,and,Jenna,Johnson,contributed,to,this,report,.}",Carson,18,18,Jenna Johnson,28,29,
2291c412-4fd0-4f5c-b3b5-df5e98cccb45_8_5_6,2291c412-4fd0-4f5c-b3b5-df5e98cccb45_8_8_9,2291c412-4fd0-4f5c-b3b5-df5e98cccb45,8,,0.913,"{Both,Senate,Judiciary,Committee,Chairman,Charles,Grassley,and,Trey,Gowdy,"","",chair,of,the,House,Select,Committee,on,Benghazi,have,both,accused,the,State,Department,of,stonewalling,document,production,to,their,many,inquiries,.}",Charles Grassley,5,6,Trey Gowdy,8,9,1
03a84e78-ce36-4ebc-baee-7a82f382ff06_11_32_32,03a84e78-ce36-4ebc-baee-7a82f382ff06_11_34_34,03a84e78-ce36-4ebc-baee-7a82f382ff06,11,,0.93,"{It,was,so,spot-one,it,was,almost,like,looking,into,the,future,--,we,can,100,%,see,best,friends,Fearne,and,Holly,growing,old,together,and,transforming,into,Absolutely,Fabulous,',Patsy,and,Ed,.}",Patsy,32,32,Ed,34,34,UNKNOWN
6c427438-c471-4191-b84b-d0ea466a40e2_4_19_20,6c427438-c471-4191-b84b-d0ea466a40e2_4_22_23,6c427438-c471-4191-b84b-d0ea466a40e2,4,,0.935,"{"","",she,poked,fun,at,the,first,Republican,TV,debate,between,potential,presidential,candidates,"","",including,Donald,Trump,"","",Jeb,Bush,and,Rand,Paul,"","",and,said,"","",``,I,became,an,American,citizen,recently,"","",and,that,night,"","",we,watched,the,Republican,debate,and,I,thought,"","",`,This,was,a,terrible,mistake,.}",Jeb Bush,19,20,Rand Paul,22,23,
1608e3ea-776a-4401-9772-e5086d13c402_3_18_19,1608e3ea-776a-4401-9772-e5086d13c402_3_21_22,1608e3ea-776a-4401-9772-e5086d13c402,3,,0.951,"{The,project,is,being,helmed,by,alumni,of,the,1996,classic,The,Neverhood,"","",including,Mike,Dietz,"","",Ed,Schofield,and,Doug,TenNapel,--,who,has,made,headlines,for,his,less-than-progressive,views,about,same-sex,marriage,"","",among,other,topics,.}",Ed Schofield,18,19,Doug TenNapel,21,22,1
72fc0339-95cf-4427-86a4-647da1443b48_3_58_59,72fc0339-95cf-4427-86a4-647da1443b48_3_61_63,72fc0339-95cf-4427-86a4-647da1443b48,3,,0.919,"{While,such,CMA,categories,as,vocal,duo,"","",video,and,musical,event,have,often,featured,non-hit,artists,and,material,"","",the,entertainer,"","",album,and,male,and,female,vocalist,categories,are,all,populated,with,at,least,one,artist,who,has,n't,had,a,top,10,single,during,the,eligibility,period,"","",including,Kacey,Musgraves,"","",Chris,Stapleton,"","",Garth,Brooks,and,Lee,Ann,Womack,.}",Garth Brooks,58,59,Lee Ann Womack,61,63,
20c239b1-b016-42bd-bd92-a5f44727e878_18_5_6,20c239b1-b016-42bd-bd92-a5f44727e878_18_8_9,20c239b1-b016-42bd-bd92-a5f44727e878,18,,0.961,"{Led,by,Paul,Baxter,"","",Gary,Rissling,and,Marty,McSorley,"","",they,exceeded,the,league,average,in,fights,per,game,for,three,straight,seasons,from,1981-84,.}",Gary Rissling,5,6,Marty McSorley,8,9,1
780e4cd2-8137-41d7-ad72-31b83c720134_2_6_7,780e4cd2-8137-41d7-ad72-31b83c720134_2_9_10,780e4cd2-8137-41d7-ad72-31b83c720134,2,,0.972,"{Ted,Cruz,"","",Carly,Fiorina,"","",Mike,Huckabee,and,Scott,Walker,reiterated,previous,commitments,on,derailing,the,international,accord,"","",that,essentially,already,been,approved,by,Congress,.}",Mike Huckabee,6,7,Scott Walker,9,10,
b360dc4c-140d-4dd2-9af9-5a927017ffb1_2_21_22,b360dc4c-140d-4dd2-9af9-5a927017ffb1_2_24_25,b360dc4c-140d-4dd2-9af9-5a927017ffb1,2,,0.914,"{The,veteran,left-winger,won,a,landslide,victory,with,almost,60,%,of,the,vote,-,trouncing,mainstream,rivals,Andy,Burnham,"","",Yvette,Cooper,and,Liz,Kendall,.}",Yvette Cooper,21,22,Liz Kendall,24,25,
f1e8952b-f800-45c0-a03f-35c2156d7e8a_9_21_22,f1e8952b-f800-45c0-a03f-35c2156d7e8a_9_34_35,f1e8952b-f800-45c0-a03f-35c2156d7e8a,9,t,0.904,"{Pearson,'s,outgoing,personality,made,him,a,popular,figure,at,the,stadium,"","",where,his,friends,included,Hall,of,Fame,broadcaster,Vin,Scully,"","",retired,Dodgers,manager,Tom,Lasorda,and,team,president,and,CEO,Stan,Kasten,.}",Vin Scully,21,22,Stan Kasten,34,35,
4ad27a47-5d5f-41a1-ac03-865fab51d042_16_17_18,4ad27a47-5d5f-41a1-ac03-865fab51d042_16_20_21,4ad27a47-5d5f-41a1-ac03-865fab51d042,16,t,0.978,"{Liz,Britton,"","",whose,husband,"","",father,and,father-in-law,are,war,veterans,"","",said,co-organizers,Blum,"","",Sharon,Stockman,and,Red,Stahlman,have,been,working,hard,to,put,a,quality,event,together,.}",Sharon Stockman,17,18,Red Stahlman,20,21,1
8b1af6c6-4674-45a0-b806-1ec9bb6a2336_35_65_66,8b1af6c6-4674-45a0-b806-1ec9bb6a2336_35_68_69,8b1af6c6-4674-45a0-b806-1ec9bb6a2336,35,,0.914,"{Its,importance,in,the,broader,political,contest,"","",can,not,be,overstated,either,because,in,consigning,the,chaos,"","",anxiety,"","",and,maritime,deaths,of,unregulated,boat,arrivals,to,the,past,"","",it,has,neutralised,one,of,Abbott,'s,most,valuable,lines,of,attack,The,second,game,changer,was,the,public,intervention,of,progressive,Liberals,such,as,NSW,Premier,Mike,Baird,and,federal,MPs,like,Craig,Laundy,and,Russell,Broadbent,"","",following,worldwide,revulsion,at,pictures,of,a,drowned,Syrian,toddler,on,a,Turkish,beach,.}",Craig Laundy,65,66,Russell Broadbent,68,69,
a934c8c6-de39-4111-867c-eb8d16e89994_3_7_7,a934c8c6-de39-4111-867c-eb8d16e89994_3_9_10,a934c8c6-de39-4111-867c-eb8d16e89994,3,,0.921,"{"","",Rick,Owens,"","",Vivienne,Westwood,"","",Zaldy,and,Rachel,Auburn,.}",Zaldy,7,7,Rachel Auburn,9,10,UNKNOWN
3bfc9cf1-ca9e-4369-832b-234559ce568e_4_12_13,3bfc9cf1-ca9e-4369-832b-234559ce568e_4_15_16,3bfc9cf1-ca9e-4369-832b-234559ce568e,4,,0.909,"{Jarrah,'s,fake,eviction,and,return,The,twist-within-a-twist,that,saw,US,stars,Farrah,Abraham,and,Jenna,Jameson,voted,into,a,luxury,secret,suite,to,spy,on,their,former,housemates,was,"","",hands,down,"","",the,highlight,of,this,series,.}",Farrah Abraham,12,13,Jenna Jameson,15,16,
c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8_9_11_12,c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8_9_3_4,c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8,9,t,0.924,"{Virginia,Democratic,Sens.,Timothy,Kaine,and,Mark,Warner,and,Democratic,Gov.,Terry,McAuliffe,spoke,at,the,rally,"","",which,was,organized,by,Everytown,for,Gun,Safety,"","",an,organization,working,to,end,gun,violence,formerly,known,as,Mayors,Against,Illegal,Guns,.}",Terry McAuliffe,11,12,Timothy Kaine,3,4,1
dcd2bfed-0c9c-4a66-8841-642b73be5338_1_4_5,dcd2bfed-0c9c-4a66-8841-642b73be5338_1_7_8,dcd2bfed-0c9c-4a66-8841-642b73be5338,1,,0.953,"{By,Liz,Raftery,"","",Amy,Poehler,and,Nick,Kroll,are,splitting,up,after,two,years,of,dating,"","",Us,Weekly,reports,.}",Amy Poehler,4,5,Nick Kroll,7,8,
b9689c5a-503e-4ae3-81b2-896b2f06a4f5_1_0_1,b9689c5a-503e-4ae3-81b2-896b2f06a4f5_1_3_6,b9689c5a-503e-4ae3-81b2-896b2f06a4f5,1,,0.931,"{Chad,Kroeger,and,Avril,Lavigne,Avril,Lavigne,and,Chad,Kroeger,have,split,after,two,years,of,marriage,.}",Chad Kroeger,0,1,Avril Lavigne Avril Lavigne,3,6,
38d46731-a757-4441-9844-3a4fcac4b656_6_6_7,38d46731-a757-4441-9844-3a4fcac4b656_6_9_10,38d46731-a757-4441-9844-3a4fcac4b656,6,,0.961,"{Laverne,Cox,"","",Chaz,Bono,"","",Ruby,Rose,and,Caitlyn,Jenner,are,all,examples,of,high-profile,transgender,individuals,.}",Ruby Rose,6,7,Caitlyn Jenner,9,10,
48f1e494-6ebd-409d-bb25-23d09fbcbbd8_5_6_7,48f1e494-6ebd-409d-bb25-23d09fbcbbd8_5_9_10,48f1e494-6ebd-409d-bb25-23d09fbcbbd8,5,,0.949,"{Unlike,GOP,candidates,Carly,Fiorina,"","",Ben,Carson,and,Donald,Trump,"","",who,are,recognized,as,operating,heavily,``,outside,the,beltway,"","",'',the,current,vice,president,is,a,world-class,politician,who,knows,how,to,use,his,rhetoric,and,the,current,political,climate,to,gain,a,political,advantage,--,which,means,he,can,manipulate,the,media,and,the,public,to,achieve,his,objectives,.}",Ben Carson,6,7,Donald Trump,9,10,
7557fc46-5647-466a-8b5f-4ad4718c8604_15_25_26,7557fc46-5647-466a-8b5f-4ad4718c8604_15_28_29,7557fc46-5647-466a-8b5f-4ad4718c8604,15,,0.912,"{More,than,""10,000"",climbers,have,tackled,it,since,mountaineers,began,their,assault,on,the,massif,in,1922,"","",but,it,was,n't,until,1953,that,Edmund,Hillary,and,Tenzing,Norgay,conquered,the,mountain,.}",Edmund Hillary,25,26,Tenzing Norgay,28,29,1
